N°,Objetivo del Indicador,Tipo de indicador,Nombre del indicador,Categoría del indicador,CR, Relación con CADP Director del indicador,Fórmula de cálculo,Unidad de Medida,Medios de Verificación ,Notas
35,Gestionar eficientemente los recursos por medio de la Planificación y la simplificación de procedimientos que aseguren una correcta ejecución presupuestaria.   ,Nuevo,Porcentaje de actividades del Plan de Socialización de Procedimientos Administrativos y Financieros del SLEP implementadas en el año t.,Administración y finanzas,Administración y finanzas,Gestión institucional: control interno,(N° de actividades del Plan de Socialización de Procedimientos Administrativos y Financieros del SLEP implementadas en el año t/ N° de total de actividades planificadas en el Plan de Socialización de Procedimientos Administrativos y Financieros del SLEP en el año t) *100,Porcentaje,"1. Plan de Socialización de Procedimientos Administrativos y Financieros del SLEP. 
2. Informe de avance del Plan de Socialización de Procedimientos Administrativos y Financieros del SLEP. 
3. Informe de cumplimiento del Plan de Socialización de Procedimientos Administrativos y Financieros del SLEP. ","Para el cálculo del denominador:
1. El Plan de Socialización de Procedimientos Administrativos y Financieros del SLEP, debe: 
a. Estar validado por el jefe/a del Centro de responsabilidad y formalizado a más tardar en el mes de febrero del año t, mediante el envío del Plan al Director Ejecutivo a través de un memorándum o correo electrónico. 
b. Contener las actividades con sus respectivas fechas programadas y medios de verificación. 
c. Contener actividades asociadas a la socialización de Procedimientos Administrativos y Financieros con directores/as, Profesores/as encargados de escuelas rurales y directoras/es de Jardines Infantiles. 
d. Definir el alcance del Plan, en cuanto a los establecimientos que serán focalizados para cada actividad y los procedimientos administrativos y financieros que serán socializados. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
36,Realizar la mejor gestión financiera con los recursos disponibles,Reformulado,Porcentaje de Cierres presupuestarios mensuales oportunos en SIGFE ,Administración y finanzas,Administración y finanzas,Gestión institucional: presupuesto,(Número de cierres oportunos en SIGFE en el año t / Número total de meses del año t)*100,Porcentaje,"1. Copia o captura de pantalla del certificado de cierre en SIGFE
2. Oficio de justificación de prórroga de plazo a Contraloría General de la República (cuando corresponda).","Para el cálculo del denominador:
1. Para efecto del cálculo del indicador se considerará como meses del año t, los cierres desde diciembre del año t-1 a noviembre del año t (12 meses).
Para el cálculo del numerador:
1. Para efectos de la medición del indicador, se entiende “enviados de manera oportuna” si el Servicio Local cierra su mes en SIGFE 2 dentro de los primeros 8 días corridos respecto de las operaciones efectuadas y registradas en el mes anterior. En caso de corresponder el 8vo día a sábado, domingo o festivo, el plazo se prorrogará al primer día hábil siguiente.
Sobre el indicador:
1. En caso de que el servicio no pueda cerrar su mes fiscal de manera oportuna, deberá originarse un oficio del Servicio a Contraloría General de la República (CGR) justificando la prórroga del plazo, esto deberá ser informado como medio de verificación durante el proceso de evaluación del CDC. la prórroga aceptada por la CGR se considera como el nuevo plazo para el envío oportuno."
37,Ejecutar el plan de compras del servicio,Reformulado,Porcentaje de cumplimiento del Plan de Compras Públicas,Administración y finanzas,Administración y finanzas,Gestión institucional: presupuesto,(Número de proyectos realizados en el año t del Plan de Compras Públicas / Número total de proyectos del Plan de Compras Públicas para el año t)*100,Porcentaje,"1. Plan de Compras Públicas 
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Compras Públicas (en adelante Plan):
a) Debe considerar el programa 01 y 02
b) Estar formalizado y aprobado por el jefe de servicio mediante resolución y ser publicado en Mercado Público a más tardar en enero
2. El plan puede ser modificado conforme a los estipulado en el reglamento y la ley de compras públicas durante todo el periodo de año. 
Para el cálculo del numerador:
1. Un proyecto se entenderá por cumplido, cuando se hayan emitido órdenes de compra aceptadas por al menos el 80% del presupuesto asignado al proyecto.
Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente
b) Deben contener el N° de la orden(es) de compra(s) en estado aceptada por cada proyecto, de acuerdo con la información de la plataforma de Mercado Público
c) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) Debe estar basado en la última modificación del Plan Anual de Compras"
38,Realizar acciones que permitan dar a conocer el nuevo servicio de bienestar del SLEP,Reformulado,Porcentaje de cumplimiento del Plan de difusión del Sistema de Educación Pública (SEP) en la comunidad educativa y en el territorio,Administración y finanzas,Apoyo técnico pedagogico,Gestión institucional: control interno,(Número de hitos cumplidos en el año t del Plan de difusión del SEP en la comunidad educativa y en el territorio/ Número total de hitos para el año t del Plan de difusión del SEP en la comunidad educativa y en el territorio)* 100,Porcentaje,"1. Plan de difusión del Sistema de Educación Pública (SEP) en la comunidad educativa y en el territorio
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de difusión del Sistema de Educación Pública (SEP) en la comunidad educativa y en el territorio (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación, relacionados con socializar el funcionamiento del SLEP y de los EE.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
39,Establecer mecanismos para asegurar una transición efectiva hacia la definición de estándares y condiciones de plataformas digitales mediante la implementación de la Ley N° 21.180 de Transformación Digital.,Nuevo,Porcentaje de cumplimiento del Plan de implementación de la Ley N° 21.180 de Transformación Digital,Administración y finanzas,Administración y finanzas,Gestión institucional: presupuesto,(Número de actividades ejecutadas en el año t del plan de implementación de la Ley N° 21.180 de Transformación Digital /Número total de actividades para el año t del Plan de implementación de la Ley N° 21.180 de Transformación Digital )*100,Porcentaje,"1. Plan de implementación de la Ley N° 21.180 de Transformación Digital
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de implementación de la Ley N° 21.180 de Transformación Digital (en adelante Plan):
a) Debe esta formalizado mediante el envío por parte del jefe del centro de responsabilidad de un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo.
b) Debe contener las actividades con sus respectivas descripciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
40,"Fomentar una mejor gestión de los activos físicos de los establecimientos educacionales del territorio

Mejorar la gestión de los activos físicos de los establecimientos educacionales del territorio"""".""
",Reformulado,Porcentaje de cumplimiento del Plan de regularización de inventarios,Administración y finanzas,Administración y finanzas,Gestión institucional: control interno,(Número de hitos cumplidos en el año t del Plan de regularización de inventarios / Número total de hitos del Plan de regularización de inventarios para el año t)*100,Porcentaje,"1. Plan de regularización de inventarios
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de regularización de inventarios (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe detallar a los establecimientos educacionales donde se realizará el Plan.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan."
41,Asegurar la sostenibilidad financiera según los recursos disponibles.,Reformulado,Porcentaje de informes de conciliaciones bancarias enviados en tiempo,Administración y finanzas,Administración y finanzas,Gestión institucional: presupuesto,(Número de informes de conciliación bancaria enviados en tiempo en el año t/ Número total de informes de conciliación bancaria en el año t) *100,Porcentaje,"1. Informe de conciliación bancaria enviado a la DEP
2. Correo de envío a la DEP de Informe de conciliación bancaria","Para el cálculo del denominador:
1. Para efectos de la medición, se consideran los informes de los meses de enero (envío en febrero) a noviembre (envío en diciembre).
Para el cálculo del numerador:
1.Para efectos de la medición del indicador, se entiende “en tiempo” si el servicio envía su informe dentro de los diez días hábiles posterior al cierre de SIGFE.
2. Los informes deben ser enviados a la DEP, mediante correo electrónico.
Sobre el indicador:
1. Se excluyen las conciliaciones bancarias de la cuenta del Servicio de bienestar"
42,Procurar por el correcto pago de las remuneraciones de los funcionarios del territorio,Reformulado,Porcentaje de meses que se paga correctamente las remuneraciones de al menos 90% de los funcionarios del Programa 02 en el año t,Gestión de personas,Gestión Personas,Gestión institucional: control interno,(Número de meses que se pagan correctamente las remuneraciones de al menos 90% de los funcionarios del Programa 02 en el año t / 11) * 100,Porcentaje,1. Informe mensual de pago de remuneraciones a funcionarios del programa 02,"Para el cálculo del denominador:
1. Corresponde a 11, que son los meses de enero a noviembre del año t

Para el cálculo del numerador:
1. Se entiende por pago correcto de la remuneración de un funcionario cuando se paga a tiempo y no requiere de ajustes ni reliquidaciones por causas atribuibles a la gestión del centro de responsabilidad

Sobre el indicador:
1. El informe mensual de pago de remuneraciones a funcionarios del programa 02 debe contener:
a) El listado de docentes y asistentes de la educación del territorio 
b) Un verificador que contemple si fue pagado correctamente la remuneración del funcionario desde el mes de enero al mes de noviembre del año t.
c) Las reliquidaciones de las remuneraciones de los funcionarios que no fueron pagados correctamente.
d) Debe ser validado por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
d) El calendario de fecha de pago del Servicio Local.
2. En el primer informe mensual del mes de enero, se dará cuenta de las causales de las reliquidaciones para identificar las atribuibles al CR."
43,Contar con una base de datos actualizada y completa de Docentes y Asistentes de la Educación vigente al año t,Reformulado,Porcentaje de carpetas funcionarias elaboradas y/o actualizadas de los docentes y Asistentes de la Educación en el año t,Gestión de personas,Gestión Personas,Gestión institucional: control interno,"(Número de carpetas funcionarias de Docentes y asistentes de la educación elaboradas y/o actualizadas en el año t / Número Total de
docentes y asistentes de la educación del territorio contratados hasta 31 de marzo del año t) *100",Porcentaje,"1. Correo electrónico enviado al Director Ejecutivo con ruta a carpeta compartida en donde se encuentran las carpetas funcionarias digitales de docentes y asistentes de la educación.
2. Nómina de los docentes y asistentes contratados al 31 de marzo del año t extraída de las matrices ""D"" y ""S"" del Servicio.
3. Registro en archivo Excel de la información consolidada contenida en cada carpeta.","Para el cálculo del denominador:
1. Se medirá solo a los docentes y asistentes de la educación contratados en el programa presupuestario 02.
2. Las carpetas que no contengan los documentos mínimos mencionados en las notas 1 y 2, no serán considerados en el numerador del indicador.
3. El plazo para realizar modificación a las carpetas es hasta el 30 de noviembre del año t.
4. Las carpetas deben ser validadas por el jefe del centro de responsabilidad y enviadas al Jefe de Servicio mediante oficio o correo electrónico en diciembre del año t.

Para el cálculo del numerador:
1.a) Para que una carpeta digital docente se encuentre elaborada y/o actualizada deberá contar con la siguiente información:
- Título profesional o técnico habilitado según corresponda.
- Certificado antecedentes.
- Certificado inhabilidades para trabajar con menores de edad.
- Resolución de nombramiento, contrato de trabajo u orden de trabajo según corresponda.
1.b) Para que una carpeta digital de un asistente de educación se encuentre elaborada y/o actualizada deberá contar con la siguiente información:
- Original o copia autorizada del certificado de antecedente para fines especiales con o sin vigencia mayor a 1 año desde la fecha de su emisión.
- Títulos técnicos de los asistentes de párvulos.
- Certificado o licencia de cuarto año medio y/o título de enseñanza de nivel superior de los asistentes de la educación que ingresaron posterior al 19-01.2008, según corresponda.
- Certificado de idoneidad psicológica de los asistentes de la educación con fecha posterior al 19-01.2008 u Oficio que respalde la solicitud de la evaluación.
- Certificado de verificación de inhabilidad para trabajar con menores de edad.
- Contratos de trabajo.

Sobre el indicador:
1. Cada docente y asistente de la educación deberá tener su propia carpeta digital con la documentación.
2. Se entiende por matriz ""D"" la nómina de la dotación permanente del Servicio que se entrega trimestralmente a DIPRES.
3. Se entiende por matriz ""S"" la nómina de la dotación del personal fuera de la dotación (reemplazos y suplencias) del Servicio, que se entrega trimestralmente a DIPRES.
4. La Matriz D y S deben traer una pestaña que indique los filtros a realizar para determinar el N de contratados (si correspondiera)."
44,Generar capacidades en los Servicios,Reformulado,Porcentaje de cumplimiento del Plan de Atracción de Talentos para la Educación Pública,Gestión de personas,Gestión Personas,Gestión institucional: control interno,(Número de hitos cumplidos en el año t del Plan de Atracción de Talentos para la Educación Pública /Número total de hitos del Plan de Atracción de Talentos para la Educación Pública para el año t) *100,Porcentaje,"1. Plan de Atracción de Talentos para la Educación Pública 
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Atracción de Talentos para la Educación Pública (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t.
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe contener un diagnóstico de necesidades de atracción de talentos para los establecimientos educacionales que considere las necesidades de mejora y las prioridades establecidas por el SLEP.
d) Debe contener estrategias de reclutamiento y/o selección de los directores.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
45,Mejorar niveles de aprendizaje de todos los estudiantes a través de una gestión pedagógica de calidad,Reformulado,Porcentaje de cumplimiento del Plan de Formación y Desarrollo de Capacidades,Gestión de personas,Gestión Personas,Gobernanza: trabajo en red,(Número de actividades ejecutadas en el año t del Plan de Formación y Desarrollo de Capacidades /Número total de actividades del Plan de Formación y Desarrollo de Capacidades para el año t) *100,Porcentaje,"1. Plan de Formación y Desarrollo de Capacidades
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Formación y Desarrollo de Capacidades (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener las temáticas formativas acordes para cada estamento, con sus respectivas descripciones, consideración de evaluaciones, fechas programadas y medios de verificación. 
c) Debe contener una actividad asociada a un diagnóstico de necesidades de formación y desarrollo de capacidades que considere a cada estamento (directivos, docentes, asistentes de la educación, y educadoras de párvulo) considerando los desafíos levantados de la evaluación del ciclo de acompañamiento.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
46,Mejorar niveles de aprendizaje de todos los estudiantes a través de una gestión pedagógica de calidad,Nuevo,Porcentaje de cumplimiento del Plan de Inducción y Mentoría a educadoras/es y docentes principiantes.,Gestión de personas,Gestión Personas,Apoyo Técnico Pedagógico: gestión educativa,(Número de hitos cumplidos en el año t del Plan de Plan de Inducción y Mentoría a educadoras/es y docentes principiantes /Número total de hitos del Plan de Inducción y Mentoría a educadoras/es y docentes principiantes para el año t) *100,Porcentaje,"1. Plan de Inducción y Mentoría a educadoras/es y docentes principiantes.
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Inducción y Mentoría a educadoras/es y docentes principiantes (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en abril del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe contener un hito de levantamiento de quiénes son las educadoras/es y docentes principiantes presentes en los EE del territorio, así como de los potenciales mentores.
d) Debe contener estrategias de seguimiento y evaluación de la inducción y mentorías levantadas, en articulación con las estrategias y lineamientos de CPEIP al respecto.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
47,Mejorar la gestión interna del Servicio,Reformulado,Porcentaje de cumplimiento del Plan de trabajo del Servicio de Bienestar del SLEP,Gestión de personas,Gestión Personas,Gestión institucional: control interno,(Número de acciones realizadas en el año t del Plan de trabajo del Servicio de Bienestar del SLEP/ Número total de acciones del Plan de trabajo del Servicio de Bienestar del SLEP para el año t)*100,Porcentaje,"1. Plan de trabajo del Servicio de Bienestar del SLEP
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de trabajo del Servicio de Bienestar del SLEP (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener las acciones con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe dar a conocer los beneficios del servicio de bienestar a los funcionarios del Servicio 
2 .El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
48,"Desarrollar una eficaz gestión del liderazgo en los diferentes niveles, procurando ofrecer el mejor servicio como sostenedores.",Reformulado,Porcentaje de cumplimiento del Plan para la construcción de una cultura territorial compartida ,Gestión de personas,Gestión Personas,Gestión institucional: control interno,(Número de hitos cumplidos en el año t del Plan para la construcción de una cultura territorial compartida / Número total de hitos planificados del Plan para la construcción de una cultura territorial compartida para el año t) *100 ,Porcentaje,"1. El Plan para la construcción de una cultura territorial compartida
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan para la construcción de una cultura territorial compartida (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
49,Procurar por el correcto pago de las remuneraciones de los funcionarios del territorio,Reformulado,Porcentaje de meses que se paga correctamente las remuneraciones de al menos 95% de los funcionarios del Programa 02 en el año t,Gestión de personas,Gestión Personas,Gestión institucional: control interno,(Número de meses que se paga correctamente las remuneraciones de al menos 95% de los funcionarios del Programa 02 en el año t / Número de meses que se paga las remuneraciones de los funcionarios del Programa 02 en el año t)*100,Porcentaje,"1. Informe mensual de pago de remuneraciones a funcionarios del programa 02

","Para el cálculo del denominador:
1. Corresponde a 11, que son los meses de enero a noviembre del año t

Para el cálculo del numerador:
1. Se entiende por pago correcto de la remuneración de un funcionario cuando se paga a tiempo y no requiere de ajustes ni reliquidaciones por causas atribuibles a la gestión del centro de responsabilidad
Sobre el indicador:
1. El informe mensual de pago de remuneraciones a funcionarios del programa 02 debe contener:
a) El listado de docentes y asistentes de la educación del territorio 
b) Un verificador que contemple si fue pagado correctamente la remuneración del funcionario desde el mes de enero al mes de noviembre del año t.
c) Las reliquidaciones de las remuneraciones de los funcionarios que no fueron pagadas correctamente.
d) El calendario de fecha de pago del Servicio Local.
2. En el primer informe mensual del mes de enero, se dará cuenta de las causales de las reliquidaciones para identificar las atribuibles al CR."
50,Velar por la recuperación de licencias médicas,Reformulado,"Porcentaje de licencias médicas con gestión de recuperación 
",Gestión de personas,Gestión Personas,Gestión institucional: control interno,(Número de licencias médicas con gestión de recuperación en el año t/ Número total de licencias médicas ingresadas en el año t)*100,Porcentaje,"1. Informe trimestral de licencias médicas tramitadas.
2. Informe final de licencias médicas tramitadas","Para el cálculo del denominador:
1. Las licencias médicas ingresadas corresponden únicamente a aquellas que tienen condición de autorizada o se entienda aprobada y que haya transcurrido el plazo según artículo 40 del DS N.º 3 de 1984.
Para el cálculo del numerador:
1. Entiéndase por gestión de recuperación de licencias médicas el ingreso a la Isapre de la licencia médica del trabajador, con sus antecedentes, bajo la condición de que esta sea autorizada o se entienda aprobada y haya transcurrido el plazo que el artículo 40 del DS N.º 3 de 1984 otorga al trabajador, a sus cargas familiares y al empleador para reclamar ante la Compin correspondiente o, habiéndose interpuesto tal reclamo o remitidos los antecedentes por la Isapre en virtud del artículo 3º inciso 3º de la ley N.º 20.585, la Compin haya emitido su pronunciamiento autorizando la licencia médica, sea en forma completa o reducida.
Sobre el indicador:
1. Se excluirán del cálculo del indicador a aquellas licencias médicas sin derecho a recuperación de subsidio (licencias de menos de 4 días).
2. Los informes trimestrales de licencias médicas deben ser enviado dentro de los diez días hábiles posteriores al día de cierre de cada trimestre.
3. Informe final de licencias médicas tramitadas se entregará dentro de los diez días hábiles contados desde la fecha de cierre (30 de noviembre).
4. El contenido mínimo del informe de avance e informe de recuperación de licencias médicas son:
a) Licencias presentadas, en cantidad
b) Licencias tramitadas, en cantidad
c) Análisis del proceso de recuperación de licencias médicas
4. Los Informes de avances e informe de recuperación de licencias médicas deben estar validados mediante firma por el jefe de área."
51,Mejorar la gestión interna del Servicio,Nuevo,Porcentaje de cumplimiento del plan de Movilidad Interna para Asistentes de la Educación en el año t,Gestión de personas,Gestión Personas,Gestión institucional: control interno,(Número de actividades ejecutadas en el año t del Plan de Movilidad Interna para Asistentes de la Educación en el año t /Número total de actividades del Plan de Movilidad Interna para Asistentes de la Educación en el año t) *100,Porcentaje,"1.- Plan de Movilidad Interna para Asistentes de la Educación en el año t
2.- Informe de avance
3.- Informe de cumplimiento","Para el cálculo del denominador:
1. El Plan de Movilidad Interna para Asistentes de la Educación debe:
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener actividades con sus respectivos medios de verificación
c) Puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.
d) Considerar acciones que vele por el adecuado cumplimiento de la normativa de movilidad interna establecida por el servicio.
e) Considerar en sus acciones la elaboración de un Manual de Movilidad Interna para asistentes de la educación
f) Considerar en sus acciones un hito de colaboración con los asistentes de la educación del territorio. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan."
52,Mejorar la gestión interna del Servicio,Reformulado,Porcentaje de cumplimiento del Plan de Implementación del Servicio de Bienestar,Gestión de personas,Gestión Personas,Gestión institucional: control interno,(Número de hitos cumplidos en el año t del Plan de Implementación del Servicio de Bienestar / Número total de hitos del Plan de Implementación del Servicio de Bienestar para el año t) * 100,Porcentaje,"1. Plan de Implementación del Servicio de Bienestar.
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de Implementación del Servicio de Bienestar (en adelante Plan):
a) Debe esta formalizado mediante el envío por parte del jefe del centro de responsabilidad de un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo.
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Para las acciones de difusión de materias asociadas al servicio de bienestar se debe contar con registro de asistencia, material difundido y otros que den cuenta de la realización de la actividad.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan."
